source,destination,weight
1471040640,11140840194,239.08499999999998
1471040640,5297629638,8.057
1471100885,2613601271,276.564
1471100885,2613601368,441.00899999999996
1471100885,11330569673,324.80299999999994
2613601271,1471100885,276.564
2613601271,5297589434,21.488000000000003
2613601278,9457098037,125.259
2613601278,2614495595,75.341
2613601278,11330569673,82.681
2613601280,2614495596,85.491
2613601280,2613601289,44.988
2613601280,2613601287,244.905
2613601282,2613601289,30.727
2613601282,11250456423,61.648
2613601282,9457121730,214.89400000000003
2613601287,2613601280,244.905
2613601287,9457098037,81.296
2613601287,9457121730,74.67200000000001
2613601289,2613601280,44.988
2613601289,2613601282,30.727
2613601289,2613601291,300.502
2613601291,9457095205,175.233
2613601291,2613601289,300.50199999999995
2613601291,2614552637,194.07299999999998
2613601298,9457095205,107.447
2613601298,2614945499,174.80599999999998
2613601298,2614945489,63.022
2613601298,2614945497,221.678
2613601300,2613601359,253.747
2613601300,11140840194,286.955
2613601300,2614507396,315.674
2613601325,7127613425,17.234
2613601325,7127613425,529.7409999999999
2613601325,2614487336,258.96
2613601359,2614487336,160.93699999999998
2613601359,2613601300,253.747
2613601359,2613601360,108.731
2613601360,2613601360,431.6650000000001
2613601360,2613601360,431.665
2613601360,2613601359,108.731
2613601368,5297589331,1915.5329999999997
2613601368,1471100885,441.009
2613601368,2613601372,181.082
2613601371,9457098087,97.328
2613601371,9457098078,284.361
2613601371,2613601372,532.488
2613601371,2613601372,267.065
2613601372,2613601368,181.082
2613601372,2613601371,267.065
2613601372,2613601371,532.488
2614487336,2614492894,70.775
2614487336,2613601359,160.937
2614487336,2613601325,258.96000000000004
2614492894,2614507396,356.798
2614492894,2614487336,70.775
2614492894,2614945499,111.973
2614492895,3437318421,196.043
2614492895,3437318417,81.41
2614492895,2614495600,56.062
2614495595,9457098029,65.275
2614495595,2613601278,75.341
2614495595,9457270948,40.886
2614495595,5413697903,71.816
2614495596,2613601280,85.491
2614495596,9457121732,34.546
2614495596,2614495599,100.57300000000001
2614495597,9457198508,203.967
2614495597,2614495600,78.985
2614495597,5413697903,72.142
2614495599,9443752236,143.347
2614495599,9457198510,77.14
2614495599,2614495596,100.57300000000001
2614495599,9443670478,172.513
2614495600,9457198509,190.327
2614495600,2614495597,78.985
2614495600,2614492895,56.062
2614495601,9443752237,26.465
2614495601,2614495602,66.232
2614495601,9457198509,151.849
2614495602,9457198510,107.9
2614495602,2614495601,66.232
2614495602,9457198508,132.541
2614495603,3437318421,164.476
2614495603,9443752237,59.723
2614495603,9443666311,57.287
2614507396,5297589433,264.207
2614507396,2614492894,356.798
2614507396,2613601300,315.674
2614552637,9457095207,8.836
2614552637,9457198514,131.339
2614552637,2613601291,194.07299999999998
2614945489,2613601298,63.022
2614945489,9457095207,56.487
2614945489,9443710189,265.184
2614945497,2613601298,221.678
2614945499,2614492894,111.973
2614945499,2613601298,174.80599999999998
2614945499,7127613422,221.77900000000002
3437318417,9443679347,214.717
3437318417,9443710167,70.53
3437318417,2614492895,81.41000000000001
3437318418,9443710167,119.984
3437318418,3437318421,74.524
3437318418,9443666311,189.42800000000003
3437318418,9443684623,141.077
3437318420,9443721540,6.082
3437318420,9443752236,111.034
3437318420,11237488750,85.587
3437318421,2614495603,164.476
3437318421,3437318418,74.524
3437318421,2614492895,196.043
5297589331,5297589332,114.50400000000002
5297589331,5297589332,113.97900000000001
5297589331,2613601368,1915.5329999999997
5297589332,9444099946,1298.7260000000003
5297589332,5297589331,114.504
5297589332,5297589331,113.979
5297589430,5297589435,315.341
5297589430,1471040640,28.277
5297589433,2614507396,264.207
5297589433,5297589435,13.738000000000001
5297589434,11250456423,267.293
5297589434,5297589433,9.34
5297589435,5297589430,315.341
5297589435,2613601271,9.077
5297629638,5297629651,9.892999999999999
5297629638,11158485083,55.261
5297629651,5297589430,23.412
5413697896,5413697903,293.98400000000004
5413697903,2614495597,72.142
5413697903,2614495595,71.816
5413697903,5413697896,293.9839999999999
5413697903,5413697913,266.16
5413697913,5413697917,74.199
5413697913,5413697903,266.15999999999997
5413697913,5413700230,65.278
5413697917,5413697918,28.413
5413697917,5413697913,74.199
5413697917,9457121732,131.398
5413697918,5413700230,43.751
5413697918,5413697917,28.413
5413697918,9457121732,132.446
5413700230,5413697918,43.751
5413700230,9457098029,198.343
5413700230,5413697913,65.278
7127613422,2614945499,221.779
7127613422,7127613425,114.257
7127613422,9457107119,202.23700000000002
7127613425,2613601325,17.234
7127613425,2613601325,529.741
7127613425,7127613422,114.25699999999999
9443666311,11237488750,139.569
9443666311,2614495603,57.287
9443666311,11237488747,50.702
9443666311,3437318418,189.42800000000003
9443670470,9443801999,70.292
9443670470,9443710206,197.667
9443670470,9457227817,101.981
9443670478,9457198514,176.89399999999998
9443670478,2614495599,172.513
9443670478,9457121719,275.871
9443670479,9443801999,135.874
9443670479,9443670480,203.01
9443670479,9457121719,65.928
9443670480,9443670479,203.01
9443670480,9443721544,317.98
9443670480,9443670487,74.291
9443670487,9443670480,74.291
9443670487,9443710209,90.148
9443670487,9443801999,208.06799999999998
9443679342,9443684636,60.332
9443679342,9443684650,14.482
9443679342,9443684623,61.617
9443679347,9443684664,5.665
9443679347,3437318417,214.71699999999998
9443679347,9443684650,177.026
9443684623,11875788482,66.359
9443684623,9443679342,61.617
9443684623,3437318418,141.077
9443684623,9443684628,161.45200000000003
9443684624,9443684626,139.284
9443684626,9443684631,45.647
9443684626,9443684628,60.263
9443684626,9443684636,119.484
9443684626,9443684624,139.284
9443684628,9443684626,60.263
9443684628,9443684623,161.452
9443684628,11237488747,208.88
9443684629,9443684630,51.445
9443684630,9443684629,51.445
9443684630,9443684631,3.583
9443684631,9443684630,3.583
9443684631,9443684626,45.647
9443684631,9443684636,168.103
9443684636,9443679342,60.332
9443684636,9443684626,119.484
9443684636,9443684631,168.103
9443684650,9443679347,177.026
9443684650,9443679342,14.482
9443684650,9443684653,49.496
9443684653,9443684661,163.039
9443684653,9443684650,49.495999999999995
9443684653,9443710182,102.66399999999999
9443684660,9443684661,54.329
9443684661,9443684660,54.329
9443684661,9443684653,163.039
9443684661,9443684664,44.577
9443684664,9443679347,5.665
9443684664,9444099946,673.4300000000002
9443684664,9443684661,44.577
9443710165,9443710169,25.734
9443710167,3437318418,119.984
9443710167,9443710168,51.416
9443710167,3437318417,70.53
9443710168,9443710178,62.26
9443710168,9443710169,17.905
9443710168,9443710167,51.416
9443710169,9443710168,17.905
9443710169,9443710165,25.734
9443710169,9443801972,76.926
9443710178,11387402035,13.864
9443710178,9443710168,62.26
9443710178,9443801972,73.961
9443710179,9443710181,47.202
9443710181,11875788482,8.629
9443710181,9443710179,47.202
9443710181,9443801972,43.730999999999995
9443710182,9443684653,102.66399999999999
9443710189,9457227827,54.063
9443710189,9457375281,57.085
9443710189,2614945489,265.184
9443710206,9443710207,24.738
9443710206,9443670470,197.667
9443710207,9443710206,24.738
9443710207,9443710209,19.369
9443710207,9443710209,16.719
9443710209,9443710207,19.369
9443710209,9443710207,16.719
9443710209,9443670487,90.148
9443721540,11201495814,81.137
9443721540,3437318420,6.082
9443721540,9443721544,88.964
9443721543,9443721544,154.867
9443721544,9443721543,154.867
9443721544,9443721540,88.964
9443721544,9443670480,317.98
9443752236,3437318420,111.034
9443752236,2614495599,143.347
9443752236,9457198512,75.743
9443752237,2614495603,59.723
9443752237,2614495601,26.465
9443752237,9457198512,132.11
9443781983,9443781989,73.503
9443781983,9457375226,38.07
9443781989,9443781983,73.503
9443801972,9443710178,73.96099999999998
9443801972,9443710169,76.926
9443801972,9443710181,43.730999999999995
9443801999,9443670479,135.874
9443801999,9443670470,70.292
9443801999,9443670487,208.06799999999998
9444099946,9443684664,673.43
9444099946,5297589332,1298.7260000000006
9444099946,9457098087,728.783
9457095205,2613601298,107.447
9457095205,9457095206,70.941
9457095205,2613601291,175.233
9457095206,9457095205,70.941
9457095207,2614552637,8.836
9457095207,2614945489,56.486999999999995
9457095207,9457095210,91.239
9457095210,9457121717,111.49700000000001
9457095210,9457095207,91.23899999999999
9457095210,9457375281,200.923
9457095389,9457258210,181.893
9457095389,9457258209,40.116
9457095389,9457375226,58.522999999999996
9457095389,9457258208,137.939
9457095393,9457095395,16.657
9457095393,9457258209,36.147
9457095393,9457227839,137.562
9457095395,9457258212,156.87900000000002
9457095395,9457095393,16.657
9457095395,9457095410,26.582
9457095410,9457107118,110.296
9457095410,9457095395,26.582
9457098029,5413700230,198.343
9457098029,2614495595,65.275
9457098029,9457098037,114.78500000000001
9457098037,2613601287,81.296
9457098037,2613601278,125.259
9457098037,9457098029,114.785
9457098073,9457270948,61.378
9457098078,9457098087,218.65
9457098078,9457129672,144.316
9457098078,2613601371,284.361
9457098087,2613601371,97.328
9457098087,9444099946,728.7829999999999
9457098087,9457098078,218.65
9457107118,9457278579,215.433
9457107118,9457095410,110.29600000000002
9457107118,9457227841,58.33
9457107119,7127613422,202.237
9457107119,9457278579,48.17399999999999
9457107119,9457278570,108.31700000000001
9457121717,9457121719,102.145
9457121717,9457095210,111.49700000000001
9457121717,9457227817,229.24099999999999
9457121719,9443670478,275.871
9457121719,9443670479,65.928
9457121719,9457121717,102.145
9457121730,2613601287,74.672
9457121730,2613601282,214.894
9457121730,11330569673,214.732
9457121732,2614495596,34.546
9457121732,5413697918,132.446
9457121732,5413697917,131.39800000000002
9457129672,9457270948,71.658
9457129672,9457098078,144.316
9457129672,11252471351,208.906
9457198508,2614495597,203.967
9457198508,9457198509,76.291
9457198508,2614495602,132.541
9457198509,2614495600,190.327
9457198509,9457198508,76.291
9457198509,2614495601,151.849
9457198510,2614495599,77.14
9457198510,2614495602,107.9
9457198510,9457198512,123.982
9457198512,9443752237,132.11
9457198512,9443752236,75.743
9457198512,9457198510,123.982
9457198513,9457198514,109.599
9457198514,9457198513,109.599
9457198514,2614552637,131.339
9457198514,9443670478,176.89399999999998
9457227817,9443670470,101.98100000000001
9457227817,9457375281,107.215
9457227817,9457121717,229.24099999999999
9457227817,9457227827,278.762
9457227827,9443710189,54.063
9457227827,9457258212,104.10199999999999
9457227827,9457278570,47.109
9457227827,9457227817,278.76199999999994
9457227839,9457095393,137.562
9457227839,9457258208,41.654
9457227841,9457107118,58.33
9457227841,9457227852,195.033
9457227852,9457227841,195.033
9457258208,9457258209,120.493
9457258208,9457227839,41.654
9457258208,9457095389,137.939
9457258209,9457258208,120.493
9457258209,9457258215,170.646
9457258209,9457095393,36.147000000000006
9457258209,9457095389,40.116
9457258210,9457095389,181.893
9457258210,9457258215,45.818
9457258210,9457375226,247.91200000000003
9457258212,9457227827,104.102
9457258212,9457095395,156.879
9457258212,9457258215,41.305
9457258215,9457258209,170.646
9457258215,9457258212,41.305
9457258215,9457258210,45.818
9457270948,9457129672,71.658
9457270948,2614495595,40.886
9457270948,9457098073,61.378
9457278570,9457107119,108.31700000000001
9457278570,9457227827,47.109
9457278570,9457278579,169.46599999999998
9457278579,9457107119,48.17399999999999
9457278579,9457107118,215.433
9457278579,9457278570,169.466
9457375226,9457095389,58.523
9457375226,9443781983,38.07
9457375226,9457258210,247.91199999999998
9457375281,9457227817,107.215
9457375281,9443710189,57.085
9457375281,9457095210,200.923
11044219041,11252990520,175.577
11140840194,11252990520,37.529
11140840194,2613601300,286.95500000000004
11140840194,1471040640,239.08500000000004
11158485083,5297629651,57.068000000000005
11201495814,9443721540,81.137
11237488747,9443666311,50.702
11237488747,11237488748,136.128
11237488747,9443684628,208.88
11237488748,11237488747,136.128
11237488748,11237488750,56.114
11237488748,11237488749,111.63499999999999
11237488749,11237488748,111.63499999999999
11237488750,3437318420,85.587
11237488750,9443666311,139.569
11237488750,11237488748,56.114
11250456423,2613601282,61.648
11250456423,5297589434,267.293
11250456423,11250456428,96.094
11250456428,11250456423,96.094
11252471351,9457129672,208.906
11252990520,11140840194,37.529
11252990520,11252990521,32.337
11252990520,11044219041,175.577
11252990521,11252990520,32.337
11330569673,2613601278,82.681
11330569673,1471100885,324.803
11330569673,9457121730,214.732
11387402035,9443710178,13.864
11875788482,9443684623,66.359
11875788482,9443710181,8.629
11875788482,11875788483,20.81
11875788483,11875788482,20.81